index,Movies,P_Genre,S_Genre,T_Genre,Cluster_ID
275,kingsman: the golden circle,2,0,15,4
276,tomb raider,2,0,8,21
277,war of the worlds,2,0,16,1
278,constantine,2,13,10,88
279,fury,2,15,2,291
280,dredd,2,2,16,474
281,john carter,2,0,16,1
282,commando,2,0,6,313
283,den of thieves,2,2,9,3
284,21 jump street,2,1,4,6
285,strange world,4,3,3,286
286,raya and the last dragon,4,3,3,286
287,skyfall,2,0,6,313
288,the fast and the furious,2,0,4,156
289,the longest day,2,15,7,379
290,kingdom of heaven,2,0,9,7
291,a knight's tale,2,0,0,282
292,world war z,2,0,10,459
293,2012,2,0,16,1
294,sherlock holmes,2,0,5,52
295,mission: impossible iii,2,0,6,313
296,valerian and the city of a thousand planets,2,0,8,21
297,in time,2,4,6,140
298,the new mutants,2,16,5,485
300,busanhaeng,2,16,6,443
301,tron,2,0,16,1
303,the hunger games: catching fire,2,0,9,7
304,hot fuzz,2,1,5,77
305,pirates of the caribbean: at world's end,2,0,8,21
306,men in black,2,0,15,4
307,dungeons &amp; dragons: honor among thieves,2,0,8,21
308,independence day: resurgence,2,0,16,1
309,the maze runner,2,7,16,34
310,godzilla: king of the monsters,2,0,8,21
311,sky high,2,1,18,60
312,the dirty dozen,2,0,2,457
313,madame web,2,0,16,1
314,the predator,2,0,16,1
315,x: first class,2,0,16,1
316,enola holmes 2,2,0,4,156
317,harry potter and the order of the phoenix,2,0,18,2
318,superman,2,0,16,1
319,total recall,2,0,16,1
320,masters of the universe,2,0,8,21
321,mortal kombat,2,0,8,21
322,silverado,2,2,9,3
323,in the heart of the sea,2,0,14,124
324,charlie's angels,2,0,15,4
325,john wick: chapter 2,2,2,6,5
326,kaithi,2,2,6,5
327,kung fu panda,4,3,3,286
328,the last of the mohicans,2,0,9,7
329,"lock, stock and two smoking barrels",2,1,4,6
330,public enemies,2,12,4,10
331,blade,2,16,16,391
332,furiosa,2,0,16,1
334,true lies,2,1,6,49
335,upgrade,2,4,6,140
336,the rock,2,0,6,313
337,only the brave,2,12,9,17
338,teenage mutant ninja turtles,2,0,15,4
339,sucker punch,2,0,8,21
340,star trek beyond,2,0,16,1
341,the italian job,2,2,6,5
342,kick-ass,2,1,4,6
343,the man from u.n.c.l.e.,2,0,15,4
345,robin hood: prince of thieves,2,0,9,7
346,conan the barbarian,2,0,8,21
347,harry potter and the half-blood prince,2,0,18,2
348,the legend of tarzan,2,0,9,7
349,the punisher,2,2,9,3
350,layer cake,2,2,9,3
351,hitman's wife's bodyguard,2,1,4,6
352,austin powers in goldmember,2,0,15,4
353,king kong,2,0,9,7
354,the crow,2,2,9,3
355,love and monsters,2,0,15,4
356,austin powers: the spy who shagged me,2,0,15,4
357,the nice guys,2,1,4,6
358,bastille day,2,2,9,3
359,snake eyes: g.i. joe origins,2,0,4,156
360,batman v superman: dawn of justice,2,0,16,1
361,rollerball,2,4,17,73
362,sherlock holmes: a game of shadows,2,0,5,52
363,king arthur: legend of the sword,2,0,9,7
364,escape room: tournament of champions,2,0,10,459
365,national treasure,2,0,5,52
366,how to train your dragon,4,3,3,286
367,training day,2,2,9,3
368,the warriors,2,2,6,5
369,taken,2,2,6,5
370,predestination,2,15,16,27
371,need for speed,2,2,6,5
372,waterworld,2,0,16,1
373,geostorm,2,4,6,140
375,transformers: the last knight,2,0,16,1
376,3:10 to yuma,2,2,9,3
377,pacific rim,2,0,16,1
378,the bourne identity,2,7,6,25
379,shooter,2,15,6,16
380,the mummy returns,2,0,8,21
381,terminator genisys,2,0,16,1
382,fast &amp; furious,2,2,6,5
383,battleship,2,0,16,1
384,first blood,2,0,6,313
385,i am legend,2,15,16,27
386,sicario: day of the soldado,2,0,4,156
387,incredibles 2,4,3,3,286
388,zombieland,2,1,10,23
389,immortals,2,15,8,335
390,they live,2,16,16,391
391,bad boys for life,2,1,4,6
392,midway,2,15,7,379
393,fast &amp; furious presents: hobbs &amp; shaw,2,0,6,313
394,don't breathe 2,2,2,10,45
395,ghost rider,2,13,6,43
396,face/off,2,2,16,474
397,into the blue,2,0,4,156
398,van helsing,2,0,8,21
399,man on fire,2,2,9,3
400,napoleon,2,12,9,17
401,the count of monte cristo,2,0,9,7
402,blasted,2,1,16,121
403,mulan,2,0,9,7
404,mortal engines,2,0,8,21
405,the expendables,2,0,6,313
406,dr. no,2,0,6,313
407,quantum of solace,2,0,6,313
408,escape from new york,2,0,16,1
409,okja,2,0,9,7
410,the chronicles of riddick,2,0,16,1
411,green lantern,2,0,16,1
412,children of men,2,15,16,27
413,mad max 2,2,0,16,1
414,x-men: the last stand,2,0,16,1
415,the patriot,2,15,7,379
416,chaos walking,2,0,8,21
417,hit the first case,2,2,9,3
418,kindergarten cop,2,1,4,6
419,the hitman's bodyguard,2,1,4,6
420,lucy,2,4,6,140
421,con air,2,2,6,5
422,men in black: international,2,0,15,4
423,kate,2,0,4,156
424,the mask of zorro,2,0,15,4
425,vampires,2,16,6,443
426,homefront,2,2,6,5
427,the expendables 3,2,0,6,313
428,looper,2,15,16,27
429,escape room,2,0,10,459
430,hercules,2,0,8,21
431,murder mystery,2,1,4,6
432,rambo: last blood,2,2,6,5
433,goldeneye,2,0,6,313
434,the other guys,2,1,4,6
435,gravity,2,15,16,27
436,dora and the lost city of gold,2,0,15,4
437,the guardian,2,0,9,7
438,jack reacher: never go back,2,2,9,3
439,the time machine,2,0,16,1
440,spy kids,2,0,15,4
441,ang-ma-reul bo-at-da,2,2,9,3
442,resident evil: apocalypse,2,16,16,391
443,red,2,1,4,6
444,doom,2,16,16,391
445,mandy,2,13,10,88
446,nude nuns with big guns,2,1,6,49
447,the outpost,2,15,7,379
448,warcraft,2,0,8,21
449,way down,2,0,6,313
450,ocean's eight,2,1,4,6
451,brahmastra part one: shiva,2,0,8,21
452,dark phoenix,2,0,16,1
454,what happened to monday,2,2,8,62
456,the day after tomorrow,2,0,16,1
457,pitch black,2,16,16,391
458,stargate,2,0,16,1
459,star trek into darkness,2,0,16,1
460,central intelligence,2,1,4,6
461,planet of the apes,2,0,16,1
462,rampage,2,0,16,1
463,kraven the hunter,2,0,16,1
464,spider-man: across the spider-verse,4,3,3,286
465,alphas,2,15,6,16
466,monster hunter,2,0,8,21
467,robin hood,2,0,9,7
468,on her majesty's secret service,2,0,6,313
469,men in black 3,2,0,15,4
470,highlander,2,0,8,21
471,transformers: dark of the moon,2,0,16,1
472,falling down,2,2,9,3
473,super 8,2,7,16,34
474,the king's daughter,2,0,18,2
475,kill bill: vol. 2,2,2,6,5
476,the mummy: tomb of the dragon emperor,2,13,10,88
477,knight and day,2,0,15,4
478,cloverfield,2,16,16,391
479,rush hour,2,1,4,6
480,the blues brothers,2,0,15,4
481,the cloverfield paradox,2,16,16,391
482,snow white and the huntsman,2,0,9,7
483,the running man,2,4,6,140
484,unbroken,2,12,9,17
485,fast &amp; furious 7,2,2,6,5
486,miss congeniality 2: armed &amp; fabulous,2,1,4,6
487,jay and silent bob reboot,2,0,15,4
488,the fast and the furious: tokyo drift,2,0,4,156
489,gods of egypt,2,0,8,21
490,resident evil: retribution,2,16,16,391
491,deadpool 3,2,1,16,121
492,joy ride,2,7,6,25
493,creed,2,15,17,395
494,captain phillips,2,12,4,10
495,borderlands,2,0,15,4
496,the forever purge,2,16,6,443
497,the marksman,2,0,9,7
499,southpaw,2,2,9,3
500,wo hu cang long,2,0,9,7
501,lara croft: tomb raider,2,0,8,21
502,outlaw king,2,12,9,17
503,greyhound,2,15,7,379
504,tomorrow never dies,2,0,6,313
505,the hunt for red october,2,0,6,313
506,the lone ranger,2,0,19,425
507,crawl,2,0,10,459
508,savages,2,2,9,3
509,the prey: legend of karnoctus,2,4,6,140
510,x2,2,4,6,140
511,serenity,2,0,16,1
512,the bourne legacy,2,0,6,313
513,brawl in cell block 99,2,2,9,3
514,deep blue sea,2,0,16,1
515,quaid-e-azam zindabad,2,1,9,26
516,alien resurrection,2,16,16,391
517,octopussy,2,0,6,313
518,miss congeniality,2,1,4,6
519,district 9,2,4,6,140
520,atlantis: the lost empire,4,3,3,286
522,logan lucky,2,1,4,6
523,bumblebee,2,0,16,1
524,godzilla,2,0,16,1
525,sherlock holmes 3,2,0,5,52
526,alien³,2,16,16,391
527,wyatt earp,2,0,14,124
528,master and commander: the far side of the world,2,0,9,7
529,non-stop,2,7,6,25
531,law abiding citizen,2,2,9,3
532,tomorrowland,2,0,18,2
533,willy's wonderland,2,1,10,23
534,terminator salvation,2,0,16,1
535,logan's run,2,0,16,1
536,the bourne supremacy,2,7,6,25
537,pineapple express,2,1,4,6
538,pokémon: detective pikachu,2,0,15,4
539,men in black ii,2,0,15,4
540,days of thunder,2,15,17,395
541,diamonds are forever,2,0,6,313
542,how to train your dragon: the hidden world,4,3,3,286
543,for your eyes only,2,0,6,313
544,lethal weapon,2,2,6,5
545,smokin' aces,2,1,4,6
547,g.i. joe: the rise of cobra,2,0,16,1
548,avp: alien vs. predator,2,0,10,459
549,the last airbender,2,0,18,2
550,small soldiers,2,0,15,4
551,ender's game,2,0,16,1
552,transformers: age of extinction,2,0,16,1
553,the ridiculous 6,2,0,15,4
554,ronin,2,2,6,5
555,source code,2,15,5,22
556,unhinged,2,16,6,443
557,equilibrium,2,15,16,27
558,north by northwest,2,0,5,52
559,the spy who loved me,2,0,6,313
560,the book of eli,2,0,9,7
561,midnight in the switchgrass,2,2,6,5
562,pain &amp; gain,2,1,4,6
563,death race,2,4,6,140
564,the school for good and evil,2,15,8,335
565,serbuan maut,2,2,6,5
566,gwoemul,2,15,10,235
567,resident evil: the final chapter,2,16,16,391
568,real steel,2,15,16,27
569,romancing the stone,2,0,15,4
570,insurgent,2,0,16,1
571,megamind,4,3,15,66
572,inferno,2,0,4,156
573,jack ryan: shadow recruit,2,15,6,16
574,ava,2,15,6,16
575,gekijouban jujutsu kaisen 0,4,3,8,50
576,dick tracy,2,1,4,6
577,hit,2,2,9,3
578,the last starfighter,2,0,16,1
580,the wild bunch,2,0,19,425
582,the silencing,2,2,5,37
583,the fate of the furious,2,2,6,5
584,elysium,2,15,16,27
585,the guest,2,7,6,25
586,dirty harry,2,2,6,5
587,rango,4,3,3,286
588,eraser,2,2,6,5
589,kung fu panda 3,4,3,3,286
590,riddick,2,0,16,1
591,kick-ass 2,2,1,4,6
592,a day to die,2,2,9,3
593,bad boys,2,1,4,6
594,war for the planet of the apes,2,0,9,7
595,jumper,2,0,16,1
596,the league of extraordinary gentlemen,2,0,8,21
597,air force one,2,15,6,16
598,the rocketeer,2,0,18,2
599,the twilight saga: eclipse,2,0,9,7
600,the covenant,2,0,8,21
601,sin city: a dame to kill for,2,2,6,5
602,the bodyguard,2,15,12,110
603,gone in sixty seconds,2,2,6,5
604,forsaken,2,15,19,53
605,manyeo,2,7,16,34
606,rambo: first blood part ii,2,0,6,313
607,those who wish me dead,2,15,6,16
608,predators,2,0,16,1
609,the expendables 2,2,0,6,313
610,spenser confidential,2,1,9,26
611,san andreas,2,0,6,313
612,pixels,2,1,8,42
613,u.s. marshals,2,2,6,5
614,king arthur,2,0,9,7
615,deepwater horizon,2,15,7,379
616,13 minutes,2,15,6,16
617,svart krabba,2,0,9,7
618,the quick and the dead,2,5,6,61
619,underworld: blood wars,2,0,8,21
620,hellboy ii: the golden army,2,0,8,21
621,over the top,2,15,17,395
622,furious 6,2,0,4,156
623,the lego movie,4,3,3,286
624,the world is not enough,2,0,6,313
625,deep impact,2,15,16,27
626,without remorse,2,9,2,491
627,beverly hills cop ii,2,1,4,6
628,licence to kill,2,0,6,313
629,the hunger games: mockingjay - part 2,2,0,16,1
630,akira,4,3,9,18
631,the equalizer 2,2,2,6,5
632,rocknrolla,2,2,6,5
633,allegiant,2,0,5,52
634,goldfinger,2,0,6,313
635,krull,2,0,8,21
636,rambo,2,0,6,313
637,hotel mumbai,2,15,7,379
638,we can be heroes,2,1,9,26
639,bronson,2,12,4,10
640,live and let die,2,0,6,313
641,fallen,2,2,9,3
642,die another day,2,0,6,313
643,g.i. joe: retaliation,2,0,16,1
644,boss level,2,0,15,4
645,rat race,2,0,15,4
646,"i, robot",2,7,16,34
647,species,2,16,16,391
648,fast five,2,2,6,5
649,a view to a kill,2,0,6,313
650,assassin's creed,2,0,16,1
651,resident evil: extinction,2,16,16,391
652,noah,2,0,9,7
653,bloodsport,2,12,9,17
654,peter pan &amp; wendy,2,0,15,4
655,2 fast 2 furious,2,0,4,156
656,ghost in the shell,2,2,9,3
657,retfærdighedens ryttere,2,1,9,26
658,28 weeks later,2,0,10,459
660,superman returns,2,0,16,1
661,outlander,2,0,16,1
662,poseidon,2,0,6,313
663,the hunger games: mockingjay - part 1,2,0,16,1
664,flash gordon,2,0,16,1
665,zombieland: double tap,2,1,10,23
666,hollow man,2,16,16,391
667,contraband,2,2,9,3
670,predator 2,2,16,16,391
671,munich,2,15,7,379
672,the island,2,4,6,140
673,attack,2,4,6,140
674,thunderball,2,0,6,313
675,dawn of the planet of the apes,2,0,9,7
676,rise of the planet of the apes,2,15,16,27
677,everest,2,0,14,124
678,adrift,2,0,14,124
679,die in a gunfight,2,1,4,6
680,friday night lights,2,15,17,395
681,now you see me 2,2,0,15,4
682,teenage mutant ninja turtles: out of the shadows,2,0,15,4
683,national treasure: book of secrets,2,0,5,52
684,the perfect storm,2,0,9,7
685,triple 9,2,2,6,5
686,alexander,2,12,9,17
687,ghosted,2,0,0,282
688,the big bird cage,2,2,9,3
689,awake,2,0,9,7
690,sahara,2,0,15,4
691,anaconda,2,0,10,459
692,smokey and the bandit,2,0,15,4
693,demolition man,2,4,6,140
694,red sonja,2,0,8,21
695,the transporter,2,2,6,5
696,maze runner: the death cure,2,0,16,1
697,underworld: evolution,2,13,6,43
698,pandorum,2,16,5,485
699,fool's gold,2,0,15,4
700,maverick,2,0,15,4
701,lilo &amp; stitch,2,0,15,4
702,legion,2,13,10,88
703,batman v superman: dawn of justice ultimate edition,2,0,16,1
704,jolt,2,1,4,6
705,a history of violence,2,2,9,3
706,journey 2: the mysterious island,2,0,15,4
708,per un pugno di dollari,2,15,19,53
709,blood red sky,2,0,8,21
710,end of watch,2,0,4,156
711,the bourne ultimatum,2,7,6,25
712,wargames,2,15,16,27
713,chappie,2,2,9,3
714,swordfish,2,2,6,5
715,dragonball evolution,2,0,8,21
716,deliver us from evil,2,0,4,156
717,the three musketeers,2,0,15,4
718,transformers: revenge of the fallen,2,0,16,1
719,the a-team,2,0,6,313
720,kung fu,2,1,8,42
721,kung fu panda 2,4,3,3,286
722,prince of persia: the sands of time,2,0,8,21
723,angels &amp; demons,2,7,6,25
724,exodus: gods and kings,2,0,9,7
725,dog soldiers,2,16,6,443
726,last action hero,2,0,15,4
727,hanna,2,0,9,7
728,g.i. jane,2,15,2,291
729,hansel &amp; gretel: witch hunters,2,13,10,88
730,escape from l.a.,2,0,16,1
731,news of the world,2,0,9,7
732,the guardians of the galaxy holiday special,2,0,15,4
733,george of the jungle,2,0,15,4
734,three kings,2,0,15,4
735,kimetsu no yaiba: mugen ressha-hen,4,3,3,286
736,the furies,2,16,6,443
737,the sum of all fears,2,15,6,16
738,xxx,2,0,6,313
739,home alone 3,2,1,4,6
740,die hard: with a vengeance,2,0,6,313
741,wicked - part one,2,0,18,2
742,you only live twice,2,0,6,313
743,the lego batman movie,4,3,3,286
744,the do-over,2,0,15,4
745,out of the furnace,2,2,9,3
746,cutthroat island,2,0,15,4
747,pride and prejudice and zombies,2,1,8,42
748,blade ii,2,16,16,391
749,how to train your dragon 2,4,3,3,286
750,underworld: rise of the lycans,2,13,6,43
751,street fighter,2,0,15,4
752,the old guard 2,2,0,8,21
753,47 ronin,2,15,8,335
754,death wish,2,2,9,3
755,avpr: aliens vs predator - requiem,2,0,10,459
756,kaduva,2,15,6,16
757,streets of fire,2,2,9,3
758,the huntsman: winter's war,2,0,9,7
759,cliffhanger,2,0,6,313
760,sand castle,2,15,2,291
761,we were soldiers,2,15,7,379
762,crocodile dundee,2,0,15,4
763,planet terror,2,1,8,42
764,from russia with love,2,0,6,313
765,it's a mad mad mad mad world,2,0,15,4
766,tides,2,0,16,1
767,miami vice,2,0,4,156
768,angry birds,4,3,3,286
769,journey to the center of the earth,2,0,18,2
770,pan,2,0,15,4
771,project power,2,2,16,474
772,lifeforce,2,16,5,485
773,firestarter,2,16,16,391
774,push,2,4,6,140
775,snakes on a plane,2,0,4,156
776,desperado,2,2,6,5
777,captain america 4,2,0,16,1
778,wild wild west,2,1,16,121
779,enemy at the gates,2,15,2,291
780,chronicle,2,15,16,27
781,domino,2,12,4,10
782,vikram vedha,2,2,9,3
783,pacific rim: uprising,2,0,16,1
784,bloodshot,2,0,16,1
785,conan the destroyer,2,0,8,21
786,the living daylights,2,0,6,313
787,innerspace,2,0,15,4
788,resident evil: afterlife,2,16,16,391
789,devotion,2,15,2,291
790,never back down,2,15,17,395
791,akinjeon,2,2,6,5
792,the chronicles of narnia: prince caspian,2,0,18,2
793,white house down,2,15,6,16
794,blue beetle,2,0,16,1
795,dracula untold,2,15,8,335
796,deja vu,2,2,16,474
797,the cannonball run,2,1,17,82
798,the ice road,2,0,6,313
799,colombiana,2,15,6,16
800,jupiter ascending,2,0,16,1
801,grindhouse,2,16,6,443
802,bright,2,13,6,43
803,the big doll house,2,15,6,16
804,loin du périph,2,1,4,6
805,the man with the golden gun,2,0,6,313
806,blade: trinity,2,16,16,391
807,the next three days,2,2,9,3
808,night teeth,2,2,9,3
809,moonraker,2,0,16,1
811,the french connection,2,2,9,3
812,tank girl,2,1,16,121
813,s.w.a.t.,2,0,4,156
814,super,2,1,4,6
815,the losers,2,0,15,4
816,22 jump street,2,1,4,6
817,kung fury: the movie,2,1,4,6
818,the great wall,2,0,8,21
819,the saint,2,0,0,282
820,the adventures of sharkboy and lavagirl 3-d,2,0,15,4
821,9,4,3,3,286
822,ghostbusters ii,2,1,8,42
823,ip man,2,12,9,17
824,in the line of fire,2,2,9,3
825,the interview,2,0,15,4
826,spy game,2,2,6,5
827,mighty morphin power rangers: the movie,2,0,18,2
828,star trek ii: the wrath of khan,2,0,16,1
829,the bad batch,2,16,5,485
830,superhero movie,2,1,16,121
831,the warriorr,2,2,9,3
832,knowing,2,7,16,34
